0.536573, 0.443723, 0.320991, 0.181918, 0.0400955, -0.0920308, -0.20411, -0.288535, -0.340773, -0.359382, -0.345774, -0.303766, -0.239005, -0.158342, -0.069197, 0.0210007, 0.105299, 0.177596, 0.232918, 0.267603, 0.279415, 0.267603, 0.232918, 0.177595, 0.105298, 0.0210001, -0.0691976, -0.158342, -0.239006, -0.303766, -0.345774, -0.359382, -0.340773, -0.288535, -0.204109, -0.0920301, 0.0400964, 0.181919, 0.320992, 0.443724
1.00595, 0.829694, 0.598546, 0.338239, 0.0743243, -0.170061, -0.375947, -0.529683, -0.623463, -0.655268, -0.628314, -0.550135, -0.431451, -0.284961, -0.124178, 0.0375911, 0.188072, 0.316639, 0.414732, 0.476112, 0.496994, 0.476111, 0.414731, 0.316638, 0.188071, 0.0375901, -0.124179, -0.284962, -0.431452, -0.550135, -0.628314, -0.655268, -0.623463, -0.529682, -0.375946, -0.170059, 0.0743259, 0.33824, 0.598548, 0.829695
1.34299, 1.10462, 0.794558, 0.447625, 0.0980431, -0.223575, -0.492513, -0.691402, -0.810791, -0.848937, -0.810933, -0.707368, -0.552736, -0.363793, -0.158016, 0.0476943, 0.238015, 0.399899, 0.522988, 0.599829, 0.625939, 0.599828, 0.522988, 0.399898, 0.238014, 0.047693, -0.158017, -0.363794, -0.552738, -0.707369, -0.810933, -0.848937, -0.81079, -0.691401, -0.492512, -0.223573, 0.0980452, 0.447626, 0.79456, 1.10463
1.5312, 1.25578, 0.900509, 0.505659, 0.110373, -0.250778, -0.550343, -0.76953, -0.898726, -0.937079, -0.891344, -0.774228, -0.602473, -0.394947, -0.170906, 0.05141, 0.255801, 0.428745, 0.559709, 0.641237, 0.668901, 0.641237, 0.559709, 0.428744, 0.2558, 0.0514086, -0.170908, -0.394949, -0.602475, -0.774229, -0.891345, -0.937079, -0.898726, -0.769529, -0.550341, -0.250776, 0.110375, 0.505661, 0.900511, 1.25578
1.56864, 1.28261, 0.916774, 0.513019, 0.111569, -0.25251, -0.55187, -0.768345, -0.893319, -0.92713, -0.877714, -0.758759, -0.587652, -0.383468, -0.165221, 0.0495029, 0.245459, 0.410238, 0.534411, 0.61145, 0.637545, 0.611449, 0.53441, 0.410237, 0.245458, 0.0495016, -0.165222, -0.383469, -0.587653, -0.75876, -0.877714, -0.92713, -0.893319, -0.768344, -0.551869, -0.252508, 0.111571, 0.513021, 0.916777, 1.28261
1.46655, 1.19538, 0.851542, 0.474788, 0.102853, -0.231817, -0.504405, -0.698976, -0.808671, -0.834977, -0.786295, -0.676074, -0.520795, -0.338048, -0.144918, 0.0432179, 0.213415, 0.355471, 0.461888, 0.527637, 0.549861, 0.527636, 0.461887, 0.35547, 0.213414, 0.0432168, -0.144919, -0.33805, -0.520796, -0.676075, -0.786295, -0.834977, -0.808671, -0.698976, -0.504404, -0.231815, 0.102855, 0.474789, 0.851544, 1.19538
1.24692, 1.01306, 0.719137, 0.399441, 0.0861758, -0.19337, -0.418753, -0.577343, -0.664354, -0.682076, -0.638511, -0.545667, -0.417751, -0.269507, -0.114853, 0.0340636, 0.167386, 0.277663, 0.359671, 0.410079, 0.427072, 0.410079, 0.359671, 0.277662, 0.167385, 0.0340627, -0.114854, -0.269508, -0.417752, -0.545668, -0.638512, -0.682076, -0.664354, -0.577343, -0.418753, -0.193369, 0.0861777, 0.399443, 0.719139, 1.01307
0.93938, 0.760665, 0.538011, 0.297654, 0.0639398, -0.142804, -0.307681, -0.421884, -0.482615, -0.492387, -0.457894, -0.388618, -0.295417, -0.189232, -0.0800838, 0.0235959, 0.115263, 0.190248, 0.245503, 0.279245, 0.290581, 0.279245, 0.245503, 0.190247, 0.115263, 0.0235952, -0.0800845, -0.189233, -0.295418, -0.388619, -0.457894, -0.492387, -0.482614, -0.421884, -0.30768, -0.142803, 0.0639412, 0.297655, 0.538012, 0.760666
0.577856, 0.466338, 0.328611, 0.181062, 0.0387199, -0.0860522, -0.184408, -0.25137, -0.28572, -0.289499, -0.267236, -0.225039, -0.169682, -0.107792, -0.0452434, 0.0132255, 0.0641403, 0.105216, 0.135134, 0.153249, 0.159307, 0.153249, 0.135134, 0.105216, 0.0641401, 0.0132252, -0.0452438, -0.107793, -0.169682, -0.225039, -0.267236, -0.289499, -0.28572, -0.25137, -0.184407, -0.0860515, 0.0387208, 0.181063, 0.328612, 0.466339
0.197279, 0.158664, 0.111383, 0.0611147, 0.0130088, -0.028763, -0.0612889, -0.0830213, -0.0937167, -0.0942408, -0.0862818, -0.0720194, -0.053798, -0.0338456, -0.0140671, 0.00407288, 0.0195774, 0.0318682, 0.0406852, 0.0459633, 0.0477178, 0.0459633, 0.0406851, 0.0318681, 0.0195773, 0.00407277, -0.0140672, -0.0338458, -0.0537981, -0.0720195, -0.0862819, -0.0942408, -0.0937166, -0.0830212, -0.0612888, -0.0287628, 0.0130091, 0.0611149, 0.111383, 0.158665
